E_type,Voltage (V),Specific surface area (m2/g),IDIG_ratio,N-doped (at%),O-doped (at%),Current density (A/g),Capacitance (F/g)
2,1,1435,0.87,0,0,0.1,218
2,1,1435,0.87,0,0,0.5,209.3
2,1,1435,0.87,0,0,1,205
2,1,1435,0.87,0,0,2,203
2,1,1435,0.87,0,0,5,201
2,1,1435,0.87,0,0,10,194.6
2,1,1435,0.87,0,0,20,192
2,1,1282,1,0,0,0.1,175
2,1,1282,1,0,0,0.5,164
2,1,1282,1,0,0,1,157
2,1,1282,1,0,0,2,150.5
2,1,1282,1,0,0,5,142
2,1,1282,1,0,0,10,134.7
2,1,1282,1,0,0,20,122.5
2,2.7,3100,1.19,0,0,0.8,150
2,3.5,3100,1.19,0,0,1.4,165
2,3.5,3100,1.19,0,0,2.8,166
2,3.5,3100,1.19,0,0,5.7,166
2,3.5,3100,1.19,0,0,0.7,200
3,1,2485,0.79,2.87,12.21,0.5,279
3,1,2423,0.79,4.21,9.49,0.5,304
3,1,2629,0.81,7.55,9.2,0.5,359
3,1,2157,0.82,7.57,8.06,0.5,321
3,1,1152,0.84,8.96,8.43,0.5,239
3,1,1049,0.86,9.05,7.81,0.5,235
2,3.5,2485,0.79,2.87,12.21,0.2,135
2,3.5,2423,0.79,4.21,9.49,0.2,141
2,3.5,2629,0.81,7.55,9.2,0.2,211
2,3.5,2157,0.82,7.57,8.06,0.2,158
2,3.5,1152,0.84,8.96,8.43,0.2,101
2,3.5,1049,0.86,9.05,7.81,0.2,98
3,1,2128,0.88,8.72,15.73,1,341
3,1,2379,0.88,6.9,10.17,1,402
3,1,2379,0.88,6.9,10.17,0.5,533
3,1,1921,0.88,6.51,10.75,1,311
3,1,690,0.83,10.23,14.04,1,200
3,1,1782,0.88,5.1,10.51,1,280
3,1,1247,0.93,2.39,12.64,1,261
3,0.8,1527,0.84,4.99,8.78,1,241
3,0.8,1620,0.96,11.64,10.41,1,186
3,0.8,2218,0.87,6.15,12.66,1,267
3,0.8,2660,0.89,10.95,10.37,1,358
3,0.8,2660,0.89,10.95,10.37,0.5,376
