DOI,Year,Materials Name,Electrolyte,E-type,Voltage (V),Specific surface area (m2/g),IDIG,N-doped (at%),O-doped (at%),Current density (A/g),Capacitance (F/g)
10.1186/s11671-017-2151-4,2017,cgacf,KOH,2,1,1435,0.87,0,0,0.1,218
10.1186/s11671-017-2151-4,2017,cgacf,KOH,2,1,1435,0.87,0,0,0.5,209.3
10.1186/s11671-017-2151-4,2017,cgacf,KOH,2,1,1435,0.87,0,0,1,205
10.1186/s11671-017-2151-4,2017,cgacf,KOH,2,1,1435,0.87,0,0,2,203
10.1186/s11671-017-2151-4,2017,cgacf,KOH,2,1,1435,0.87,0,0,5,201
10.1186/s11671-017-2151-4,2017,cgacf,KOH,2,1,1435,0.87,0,0,10,194.6
10.1186/s11671-017-2151-4,2017,cgacf,KOH,2,1,1435,0.87,0,0,20,192
10.1186/s11671-017-2151-4,2017,AC,KOH,2,1,1282,1,0,0,0.1,175
10.1186/s11671-017-2151-4,2017,AC,KOH,2,1,1282,1,0,0,0.5,164
10.1186/s11671-017-2151-4,2017,AC,KOH,2,1,1282,1,0,0,1,157
10.1186/s11671-017-2151-4,2017,AC,KOH,2,1,1282,1,0,0,2,150.5
10.1186/s11671-017-2151-4,2017,AC,KOH,2,1,1282,1,0,0,5,142
10.1186/s11671-017-2151-4,2017,AC,KOH,2,1,1282,1,0,0,10,134.7
10.1186/s11671-017-2151-4,2017,AC,KOH,2,1,1282,1,0,0,20,122.5
10.1126/science.1200770,2011,,TEABF4/AN,2,2.7,3100,1.19,0,0,0.8,150
10.1126/science.1200770,2011,,BMIMBF4,2,3.5,3100,1.19,0,0,1.4,165
10.1126/science.1200770,2011,,BMIMBF4,2,3.5,3100,1.19,0,0,2.8,166
10.1126/science.1200770,2011,,BMIMBF4,2,3.5,3100,1.19,0,0,5.7,166
10.1126/science.1200770,2011,,EMITFSI,2,3.5,3100,1.19,0,0,0.7,200
10.1039/d0ta09985f,2021,CPIL-1,H2SO4,3,1,2485,0.79,2.87,12.21,0.5,279
10.1039/d0ta09985f,2021,CPIL-2,H2SO4,3,1,2423,0.79,4.21,9.49,0.5,304
10.1039/d0ta09985f,2021,CPIL-3,H2SO4,3,1,2629,0.81,7.55,9.2,0.5,359
10.1039/d0ta09985f,2021,CPIL-4,H2SO4,3,1,2157,0.82,7.57,8.06,0.5,321
10.1039/d0ta09985f,2021,CPIL-5,H2SO4,3,1,1152,0.84,8.96,8.43,0.5,239
10.1039/d0ta09985f,2021,CPIL-6,H2SO4,3,1,1049,0.86,9.05,7.81,0.5,235
10.1039/d0ta09985f,2021,CPIL-1,EMIMBF4,2,3.5,2485,0.79,2.87,12.21,0.2,135
10.1039/d0ta09985f,2021,CPIL-2,EMIMBF4,2,3.5,2423,0.79,4.21,9.49,0.2,141
10.1039/d0ta09985f,2021,CPIL-3,EMIMBF4,2,3.5,2629,0.81,7.55,9.2,0.2,211
10.1039/d0ta09985f,2021,CPIL-4,EMIMBF4,2,3.5,2157,0.82,7.57,8.06,0.2,158
